title,author,rating,gender,publisher,publishDate
The Civilizing Process,Norbert Elias,4.25,m,Wiley-Blackwell,July 13th 2000
The Sister Wife,Diane Noble,3.48,w,Avon Inspire,June 22nd 2010
The Lost German Slave Girl: The Extraordinary True Story of Sally Miller and Her Fight for Freedom in Old New Orleans,John Bailey,3.72,m,Grove Press,November 29th 2005
Trůn pro mrtvého,Jenny Nowak,4.3,w,Netopejr,2000
Camouflage,Joe Haldeman,3.64,m,Ace,August 2005
Childbirth Without Fear,Grantly Dick-Read,3.92,m,HarperCollins Publishers,June 1st 1994
"O Livro dos Dias, um diário das Cruzadas",Stephen J. Rivele,4.12,m,Lyon Edições,1998
Vampire Mine,Kerrelyn Sparks,4.24,m,Avon,March 29th 2011
When Corporations Rule the World,David C. Korten,4.1,m,Berrett-Koehler Publishers,May 14th 2001
"Spider-Man Loves Mary Jane, Volume 2",Sean McKeever (Writer),4.03,m,Marvel,September 3rd 2008
Degenerates,Neil D. Ostroff,4.42,m,Dark Horizons Press,September 29th 2009
Show Horse,Bonnie Bryant,3.78,m,,
The Warrior,Kinley MacGregor,4.07,m,Avon,November 27th 2007
Unknown Book 11775787,Unknown Author 788,4.0,m,,
Because She Can,Bridie Clark,3.28,w,Warner Books (NY),February 1st 2007
"NORA: The Last Chronicle of Devildom, Vol. 8",Kazunari Kakei,4.27,m,VIZ Media LLC,December 1st 2009
Pierre et Jean,Guy de Maupassant,3.65,m,Adamant Media Corporation,March 13th 2001
A Death In Tuscany,Michele Giuttari,3.58,w,,2008 
Cuentos esenciales,Guy de Maupassant,4.37,m,DeBolsillo,January 2010
Forgiving the Unforgivable,Beverly Flanigan,4.14,w,Wiley,June 1st 1994
Ivy and Bean: Bound to be Bad,Annie Barrows,4.16,w,Chronicle Books,September 1st 2008
48 Hours to Chaos: An Engineer Looks at Life and How the World Really Works,John D. Waterman,4.17,m,Dennett Ink,February 1st 2011
"Israel, My Beloved",Kay Arthur,4.15,m,Harvest House Publishers,March 15th 2001
Os Mal-Amados,Luísa Beltrão,3.97,w,Editorial Presença,August 16th 1999
Five 4ths of July,Pat Raccio Hughes,3.86,m,Viking Books for Young Readers,May 12th 2011
Transformations of Myth Through Time,Joseph Campbell,4.25,m,Harper Perennial,February 28th 1990
Der schwarze Kelch,Peter Berling,3.83,m,Bastei Lübbe,October 23rd 1999
La grande peur dans la montagne,Charles-Ferdinand Ramuz,3.66,m,Livre de Poche,October 1st 1975
Promethea: Book Two of the Groundbreaking New Series,Alan Moore,4.08,m,America's Best Comics,August 1st 2001
The Snake Oil Wars or Scheherazade Ginsberg Strikes Again,Parke Godwin,3.81,m,DoubleDay,July 28th 1989
Ahistory: An Unauthorized History of the Doctor Who Universe,"Lance Parkin , Lars Pearson",4.36,m;m,Mad Norwegian Press,December 17th 2007
Thorn in My Heart,Liz Curtis Higgs,4.0,w,Waterbrook Press,March 18th 2003
Dexter Is Delicious,Jeff Lindsay,3.79,m,Doubleday Books,September 7th 2010
"Resistance, Rebellion and Death: Essays",Albert Camus,4.2,m,Vintage,August 29th 1995
Naughty Delivery,Lucy Felthouse,3.8,w,,
Never Suck A Dead Man's Hand: Curious Adventures of a CSI,Dana Kollmann,3.83,w,Citadel,February 1st 2007
Dalí and Me,Catherine Millet,3.78,w,Scheidegger and Spiess,November 15th 2008
Pagan Babies,Elmore Leonard,3.53,m,HarperTorch,January 2002
The Night Tourist,Katherine Marsh,3.7,w,Hyperion Books for Children,September 18th 2007
Emma and the Vampires,Wayne Josephson,3.23,m,Sourcebooks Landmark,August 1st 2010
Love Warps the Mind a Little,John Dufresne,3.73,m,Plume,February 1st 1998
On the Rez,Ian Frazier,3.85,m,Picador USA,May 4th 2001
The Sweet Spot,Kimberly Kaye Terry,3.86,m,Aphrodisia,September 1st 2009
Touched by an Alien,Gini Koch,3.69,m,Daw Books,April 6th 2010
The Gold of the Gods,Erich von Däniken,3.35,m,,"Endalk Ena Mahder Book List

34 books — 8 voters
The Devil Trying To Pull Us Down

101 books — 2 voters"
Hipersemiotika: Tafsir Cultural Studies Atas Matinya Makna,Yasraf Amir Piliang,3.63,m,Jalasutra,2003
Yargo,Jacqueline Susann,3.73,w,Bantam Books (Mm),February 1st 1979
Lichožrouti,Pavel Šrut,4.02,m,Paseka,2008
The Bishop's Daughter,Wanda E. Brunstetter,4.35,w,Barbour Books,August 1st 2006
Gemma,Meg Tilly,3.75,w,Syren Book Company,September 1st 2006
Wait! No Paint!,Bruce Whatley,3.93,m,HarperCollins,June 14th 2005
Harold and Maude,Colin Higgins,4.11,m,Avon Books,February 1st 1979
Nelson Mandela: A Biography,Peter Limb,3.28,m,Greenwood Press,January 1st 2008
Saving Seven (Book 1),Flint Ory,4.92,m,,
Run for Your Life,"James Patterson , Michael Ledwidge",4.02,m;m,"Little, Brown and Company",February 2nd 2009
"A Mere Six Degrees of Separation: Social Networks, Kevin Bacon, and the Small World Experiment",Beatriz Scaglia,0.0,w,Webster's Digital Services,January 27th 2011
The Education of Patience Goodspeed,Heather Vogel Frederick,3.84,w,Simon Schuster Books for Young Readers,April 1st 2006
"Thunder Dog: The True Story of a Blind Man, His Guide Dog, and the Triumph of Trust at Ground Zero",Michael Hingson,4.0,m,Thomas Nelson,August 1st 2011
Rangers at Roadsend,Jane Fletcher,4.21,w,Bold Strokes Books,August 1st 2005
"When I Sleep, Then I See Clearly: Selected Poems of J.V. Foix",J.V. Foix,4.38,m,Persea Books,December 31st 1989
Saga of the Wolf,D.J. Manly,4.08,m,Extasy Books,May 6th 2008
Em Nome da Terra,Vergílio Ferreira,4.37,m,,
Bleach Box Set: Volumes 1-21,Tite Kubo,4.47,m,VIZ Media LLC,September 2nd 2008
Red Hood's Revenge,Jim C. Hines,3.92,m,DAW,July 6th 2010
Payback,Roy Glenn,4.45,m,Urban Books,February 1st 2006
One World Order,John Coleman,4.2,m,Bridger House Publishers Inc,October 20th 2003
Yours to Keep,Shannon Stacey,4.06,m,Carina Press,June 6th 2011
Boy and Going Solo,"Roald Dahl, Quentin Blake",4.26,m;m,Puffin,April 5th 2001
Faerie Hackers,Johan Heliot,3.29,m,Mnémos,April 15th 2003
La Loi des mâles,Maurice Druon,4.26,m,LGF,May 22nd 1973
"The Haunter of the Dark: The H.P. Lovecraft Omnibus, #3",H.P. Lovecraft,4.18,m,Granada Publishing Limited,June 20th 1985
Pegasus in Space,Anne McCaffrey,4.13,w,Del Rey,February 27th 2001
Rider in the Dark,Victoria Holmes,3.99,w,HarperCollins,January 24th 2006
Simple Justice,John Morgan Wilson,4.13,m,Crimeline,September 2nd 1997
Zwaar beproefd!,Chantal van Gastel,3.97,w,The House of Books,August 2011
"No, David!",David Shannon,4.14,m,Blue Sky Press,September 1st 1998
Furiously Tempted,Karen Fuller,4.0,w,World Castle Publishing,May 15th 2011
"Love, Acceptance & Forgiveness","Jerry Cook, Stanley C. Baldwin",4.51,m;m,Regal Books,June 1st 1979
Nostradamus: The New Millennium,John Hogue,3.48,m,Element Books,March 15th 2002
Flowers in the Attic/Petals on the Wind,V.C. Andrews,4.12,m,HarperCollins,2005
La palabra del mudo: Cuentos 52/72,Julio Ramón Ribeyro,4.51,m,Milla Batres Editorial,January 1st 1973
The Sherlock Holmes Mysteries,Arthur Conan Doyle,4.27,m,Signet Classics,October 4th 2005
The Secret of Santa Vittoria,Robert Crichton,4.16,m,Carroll & Graf Publishers,Published
Splendid,Julia Quinn,3.9,w,Avon,August 26th 2003
Stoker's Shadow,Paul Butler,3.67,m,Flanker Press,October 9th 2003
Doctor Who: Paradox Lost,George Mann,3.89,m,BBC Books,June 23rd 2011
Vapor,Amanda Filipacchi,3.89,w,Carroll & Graf,May 31st 2003
If I Tell,Janet Gurtler,3.67,w,Sourcebooks Fire,October 1st 2011
The Kid,Kevin Lewis,3.94,m,Penguin,March 4th 2004
A Perfect Husband,Douglas Wickard,4.11,m,,January 24th 2012
The Peace War,Vernor Vinge,3.97,m,Tor Books,December 1st 2003
Prométeme que serás libre,Jorge Molist,4.06,m,,2011
"Hidup Bukan Rahsia Anda, Saya dan Kita",Zabrina A. Bakar,4.32,m,Wise Words Publishing,March 2010
Athena the Wise,"Joan Holub , Suzanne Williams",4.28,w;w,Aladdin,April 5th 2011
Tokyo-Montana Express,Richard Brautigan,3.98,m,Christian Bourgois,November 1st 1981
Ishq Ka Ain / عشق کاعین,Aleem Ul Haq Haqqi,4.09,m,Ilm o Irfan Publishers,2007
Wench,Dolen Perkins-Valdez,3.7,m,Amistad,January 5th 2010
The Slave Factory,Julian Darius,4.03,m,Martian Lit,January 27th 2012
The Secret of the Lost Tunnel,Franklin W. Dixon,3.78,m,Grosset & Dunlap,January 1st 1950
Scorched Skies,Samantha Young,4.14,w,CreateSpace,March 16th 2012
Vanishing Worlds - Annelies' Journal,Nadine May,5.0,w,Kima Global Publishers,July 18th 2011
Dragonworld ETC,L'Poni Baldwin,4.0,m,Geppetto Garten,October 3rd 2011
Will,Maria Boyd,3.75,w,Knopf Books for Young Readers,July 13th 2010
Bear Necessities,Dana Marie Bell,3.95,w,Samhain Publishing,July 27th 2010
بين التاريخ والواقع: الجزء الأول,راغب السرجاني,3.85,m,,مائة 
The Mark of the Horse Lord,Rosemary Sutcliff,4.17,w,Front Street,March 1st 2006
Von Bek,Michael Moorcock,3.88,m,White Wolf Games Studio,May 1st 1996
Sylvie,Gérard de Nerval,3.6,m,Livre de Poche,April 1st 1999
Letters to Elise: A Peter Townsend Novella,Amanda Hocking,3.86,w,,December 20th 2010
7 Souls,"Barnabas Miller, Jordan Orlando",3.58,m;m,Delacorte Books for Young Readers,July 13th 2010
Charity Moon,DeAnna Kinney,3.64,m,Kinney Publishing,April 12th 2012
Boy Scouts of America Scout Stuff: Illuminating a Century of the Scouting Experience,Robert Birkby,4.38,m,DK,October 31st 2011
Century of the Wind,Eduardo Galeano,4.54,m,W.W. Norton & Company,June 17th 1998
Home Town,Tracy Kidder,3.74,m,Washington Square Press,May 1st 2000
Moving Can Be Murder,Susan Santangelo,3.96,w,,
Amanda & The Eleven Million Mile High Dancer,Carol de Chellis Hill,3.78,m,Bloomsbury Publishing PLC,March 1st 1993
Las orquídeas rojas de Shanghai,Juliette Morillot,4.3,w,Random House Mondadori,July 30th 2005
The Frontiersman's Daughter,Laura Frantz,4.09,w,Fleming H. Revell Company,August 1st 2009
The 12th Planet,Zecharia Sitchin,3.99,m,Avon Books (NYC),2007
"RECollection, Vol. 1",Joseph Gordon-Levitt,4.45,m,HitRECord,September 20th 2011
Hold the Dream,Barbara Taylor Bradford,4.12,w,St. Martin's Paperbacks,October 4th 2005
Nicholas and Alexandra,Robert K. Massie,4.24,m,Random House Trade Paperbacks,February 1st 2000
A Spy in the House of Love,Anaïs Nin,3.67,w,Swallow Press,January 1st 1959
The Madwoman of Chaillot,Jean Giraudoux,3.8,m,Dramatists Play Service,January 1st 1950
A Short History of Decay,Emil M. Cioran,4.25,m,Arcade Publishing,September 15th 1998
Beneath a Southern Sky,Deborah Raney,4.39,w,WaterBrook Press,February 16th 2010
Quantum Healing: Exploring the Frontiers of Mind Body Medicine,Deepak Chopra,4.14,m,Bantam,May 1st 1990
Zoobreak,Gordon Korman,3.95,m,Scholastic Press,September 1st 2009
Strawberry Mansion: A Philadelphia Story,Julia Press Simmons,4.28,w,Queen Midas Books,March 24th 2011
Moving On,Larry McMurtry,3.81,m,Simon Schuster,June 4th 1999
Jedan od onih života,Đorđe Balašević,4.42,m,"Prometej, Novi Sad",1997
Vampire Hunter D Volume 08: Mysterious Journey to the North Sea - Part Two,Hideyuki Kikuchi,4.18,m,Digital Manga Publishing / Dark Horse,August 22nd 2007
"Grande seno, fianchi larghi",Mo Yan,3.78,m,Einaudi,2006
Samhane,D. I. Russell,4.34,m,Stygian Publications,December 21st 2010
Outlaw,Angus Donald,3.91,m,Sphere,July 15th 2009
The Crimson Thread: A Retelling of Rumpelstiltskin,Suzanne Weyn,3.78,w,Simon Pulse,June 17th 2008
"Case Closed, Vol. 2",Gosho Aoyama,4.38,m,VIZ Media LLC,November 3rd 2004
Romeo x Juliet: Omnibus,COM (Illustrated by),4.08,m,Yen Press,July 27th 2010
Clemencia,Ignacio Manuel Altamirano,3.99,m,Grupo Editorial tomo,January 1998
How an Economy Grows and Why It Crashes,"Peter D. Schiff, Andrew J. Schiff",4.15,m;m,Wiley,May 3rd 2010
Mickey's Christmas Carol: Classic Storybook,Walt Disney Company,4.3,m,Mouse Works,August 17th 1995
Counterpoint,Rachel Haimowitz,3.75,w,Riptide Publishing,December 27th 2011
Chasing Magic,Stacia Kane,4.2,w,Del Rey,June 26th 2012
Taming the Tiger from the Depths of Hell to the Heights of Glory: The Remarkable True Story of a Kung Fu World Champion,"Tony Anthony, Angela Little",3.83,m;w,Authentic,November 1st 2004
In a Heartbeat,Loretta Ellsworth,4.09,w,Walker Childrens,February 1st 2010
Fate's Edge,Ilona Andrews,4.1,w,Penguin,November 29th 2011
A Good Man in Africa,William Boyd,3.85,m,Vintage,January 14th 2003
The Complete Beatles Recording Sessions: The Official Story of the Abbey Road Years 1962-1970,Mark Lewisohn,4.46,m,EMI Records,August 30th 2006
Wyrd Sisters: The Play,Terry Pratchett,4.35,m,Corgi,May 2nd 1996
Night Feast: A Vampire Novel,Yvonne Bruton,3.4,w,Yvonne Bruton,June 11th 2011
Trois gouttes de sang,Martine Pouchain,3.44,w,Flammarion Jeunesse,April 20th 2011
Prijatelji sa Kosančićevog venca 7,Slobodan Selenić,4.14,m,BIGZ,1986
The House at Old Vine,Norah Lofts,4.25,w,House of Stratus,July 1st 2002
Vinyl Cafe Unplugged,Stuart McLean,4.25,m,Penguin,2001
Intuition: Knowing Beyond Logic,Osho,3.97,m,St. Martin's Griffin,December 14th 2001
Danger!,Laura Buller,4.36,w,DK Children,September 20th 2010
Sea Hawk's Mistress,Marianne LaCroix,3.75,w,Ellora's Cave,Published
Conspiracy Game,Christine Feehan,4.38,w,Penguin Group (USA),November 2006
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,3.68,m,Warner Books (NY),September 1st 1997
Mindblind,Jennifer Roy,3.94,w,Skyscape,October 1st 2010
The Infinity Concerto,Greg Bear,3.9,m,Berkley,May 15th 1986
Being In Balance: 9 Principles for Creating Habits to Match Your Desires,Wayne W. Dyer,4.19,m,Hay House,September 18th 2006
The Goblin Wood,Hilari Bell,3.94,m,Harpercollins,June 15th 2004
The Life and Campaigns of Stonewall Jackson,Robert Lewis Dabney,4.21,m,Vision Forum,September 25th 2002
"If It Was Easy, They'd Call the Whole Damn Thing a Honeymoon: Living with and Loving the TV-Addicted, Sex-Obsessed, Not-So-Handy Man You Married",Jenna McCarthy,3.79,w,Berkley Trade,October 4th 2011
Fresh Eggs,Rob Levandoski,3.53,m,Permanent Press (NY),July 1st 2002
"Berserk, Vol. 6",Kentaro Miura,4.56,m,Dark Horse Manga,February 1st 2005
The Lost Soul,Jessica Sorensen,4.28,w,,June 27th 2012
The Potter's Freedom: A Defense of the Reformation and a Rebuttal of Norman Geisler's Chosen But Free,James R. White,4.43,m,Calvary Press,June 5th 2000
The Feud,Kimberley Chambers,4.49,w,,
"Lake Wobegon die wahre Geschichte einer kleinen Stadt, die auf keiner Landkarte steht",Garrison Keillor,3.64,m,,
Der Zeitkrieg,Andreas Brandhorst,3.92,m,Heyne,2005
In Darkness,Nick Lake,3.73,m,Bloomsbury Publishing,January 5th 2012
"Pandora Hearts, Volume 3",Jun Mochizuki,4.43,m,Yen Press,October 2010
Derailed,James Siegel,3.76,m,,"Best Twists

4,594 books — 7,864 voters
Most Intriguing Titles--Fiction

102 books — 105 voters"
Lean Six SIGMA Statistics: Calculating Process Efficiencies in Transactional Project,Alastair Muir,4.2,m,McGraw-Hill Education,September 1st 2005
Anika,Ivo Andrić,4.19,m,Państwowy Instytut Wydawniczy,1978
Ring of Ritornel,Charles L. Harness,3.77,m,Panther,1974
Rock God: The Legend of BJ Levine,Barnabas Miller,3.14,m,Sourcebooks Young Readers,January 17th 2012
The Bride Stripped Bare,Nikki Gemmell,3.13,w,Harper Perennial,August 28th 2012
Hotdogs & Coleslaw,Yolanda Williams,3.5,w,Moore&PoesyPublishing,April 17th 2012
Angel Tech: A Modern Shaman's Guide to Reality Selection,Antero Alli,3.9,m,New Falcon Publications,January 1st 1991
Mr. Red Riding Hoode,Dana Marie Bell,3.86,w,"Samhain Publishing, Ltd.",November 12th 2013
The Great Match Race: When North Met South in America's First Sports Spectacle,John Eisenberg,4.06,m,Houghton Mifflin Harcourt,May 5th 2006
The Rest of the Robots,Isaac Asimov,4.09,m,Granada Publishing in Panther books,1968
Eighty Days Yellow,Vina Jackson,2.92,w,Orion,July 19th 2012
ملاك الحب,إيمان مصعبين,4.05,m,,April 5th 2010
The Twelfth Angel,Og Mandino,4.17,m,Ballantine Books,August 27th 1996
Poesía completa,Alejandra Pizarnik,4.56,w,Lumen,April 16th 2009
The Stonor Eagles,William Horwood,4.18,m,Arrow,1986
The History of the World According to Facebook,Wylie Overstreet,3.79,m,It Books,October 11th 2011
The Lives of a Cell: Notes of a Biology Watcher,Lewis Thomas,4.15,m,Penguin Books,February 23rd 1978
The Man Who Made Husbands Jealous,Jilly Cooper,3.99,w,Transworld Publishers,May 1st 1994
Core of Evil,Nigel McCrery,3.72,m,Quercus Publishing,2009
Bella Poldark,Winston Graham,4.33,m,Pan Publishing,May 2nd 2003
Aerie and Reckoning,Thomas E. Sniegoski,4.09,m,Simon Pulse,March 8th 2011
Hades' Daughter,Sara Douglass,3.89,w,Tor Books,September 15th 2003
A Life Worth Living,Lorrie Kruse,3.91,w,Storyteller Publishing,July 3rd 2012
Quest for Love: True Stories of Passion and Purity,Elisabeth Elliot,4.19,w,Fleming H. Revell Company,April 1st 2002
Ill Fares the Land,Tony Judt,4.03,m,The Penguin Press HC,March 18th 2010
Barefoot Contessa Foolproof: Recipes You Can Trust,Ina Garten,4.28,w,Clarkson Potter,October 30th 2012
The Complete Book of Drawing: Essential Skills for Every Artist,Barrington Barber,4.04,m,Arcturus Publishing Limited,July 15th 2012
"Sin City: Una Dura Despedida, #1 de 3",Frank Miller,4.18,m,Gárgola,December 28th 2004
Die Mumins: Abenteuer im Mumintal,Tove Jansson,4.39,w,Arena,2002
The Dervish House,Ian McDonald,3.85,m,Pyr,July 27th 2010
Septimus Heap,Angie Sage,4.14,w,Bloomsbury,October 5th 2009
Dangerous to Know,Barbara Taylor Bradford,3.73,w,HarperTorch,April 8th 1996
The Witch's Daughter,Paula Brackston,3.6,w,Thomas Dunne Books,January 18th 2011
Poor Little Bitch Girl,Jackie Collins,3.84,m,St. Martin's Press,February 2010
A Game of Thrones: The Book of Ice and Fire RPG rulebook,"Simone Cooper, Debbie Gallagher",4.66,w;w,Guardians of Order,September 20th 2004
Moonlight and Vines,Charles de Lint,4.19,m,Orb Books,December 27th 2005
The Christmas Box Collection: The Christmas Box / Timepiece / The Letter,Richard Paul Evans,4.24,m,Pocket Books,October 1st 1998
Cell 8,"Anders Roslund, Börge Hellström",3.74,m;m,Silveroak,January 3rd 2012
Because I Need To,Beth Kery,3.94,w,Berkley InterMix,September 11th 2012
The Mystery of the Invisible Thief,Enid Blyton,4.06,w,Armada,May 1991
Bloodraven,P.L. Nunn,3.99,m,Lulu.com,August 21st 2007
The Country Girl,Clifford Odets,3.74,m,"Dramatists Play Service, Inc.",January 1st 1998
あずまんが大王 1,Kiyohiko Azuma,4.19,m,,
Isambard Kingdom Brunel: Engineering Knight-Errant,Adrian Vaughan,4.0,m,John Murray Publishers,October 1st 2003
The Meaning of Happiness,Alan W. Watts,4.08,m,Harper and Row,January 1st 1970
Moon Lake,Eudora Welty,3.34,m,Penguin Classics,February 15th 2011
Principles of Stellar Evolution and Nucleosynthesis,Donald D. Clayton,4.17,m,University of Chicago Press,January 15th 1984
Selina Penaluna,Jan Page,3.44,m,Mondadori,2008
"Basic Writings: Ten Key Essays, plus the Introduction to Being and Time",Martin Heidegger,4.09,m,HarperCollins,February 26th 1993
Billy Phelan's Greatest Game,William Kennedy,3.94,m,Penguin Books,January 27th 1983
What The Torah Teaches Us About Life / Through The Themes Of The Weekly Torah Portions (4),Laura Weakley,4.55,w,Laura Weakley at CreateSpace,December 16th 2012
Nobody's Perfect,Kallypso Masters,4.33,m,Kallypso Masters,September 16th 2012
Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,3.97,m,Grove Press,June 29th 2004
The Little Book That Builds Wealth: The Knockout Formula for Finding Great Investments,Pat Dorsey,4.27,m,Wiley,March 1st 2008
The Tiger's Woman,Celeste De Blasis,4.29,w,Delacorte Press,May 1st 1981
Pedigree,Georges Simenon,3.89,m,NYRB Classics,July 20th 2010
Get Known Before the Book Deal: Use Your Personal Strengths to Grow an Author Platform,Christina Katz,3.85,w,Writer's Digest Books,November 17th 2008
One Day in My Life,BobSands,4.38,m,Mercier Press,December 1st 2001
Middle Damned,Shane Stilson,4.21,m,Wayman Publishing,August 1st 2012
Blood and Light,Rue Volley  (Pseudonym),4.09,m,Vamptasy,March 31st 2012
Isle of Destiny,Kenneth C. Flint,3.85,m,"Bantam Books, Inc.",November 1988
Do Yourself a Favor...Forgive: Learn How to Take Control of Your Life Through Forgiveness,Joyce Meyer,4.41,w,FaithWords,April 3rd 2012
دو قرن سکوت,Abdolhosein Zarrinkob,3.99,m,سخن,2005
"Akira, Vol. 3",Katsuhiro Otomo,4.44,m,Dark Horse Manga,July 10th 2001
The Occupation,David R. Beshears,4.6,m,Greybeard Publishing,2010
The Way of Nacor,Jeff W. Horton,4.67,m,World Castle Publishing,August 26th 2012
To See You Again: A True Story of Love in a Time of War,"Betty Schimmel, Joyce Gabriel",4.25,w;w,Plume,October 1st 2000
العالم الضيق,نجيب الكيلاني,3.16,m,مؤسسة الرسالة,Published
Hanami,Fenny Wong,3.61,w,Gagas Media,September 2012
Най-синьото вълшебство,Петя Дубарова,4.56,m,Български писател,1988
The Mysterious Mannequin,Carolyn Keene,3.93,w,Grosset & Dunlap,1970
There Is Power in a Union: The Epic Story of Labor in America,Philip Dray,4.14,m,Doubleday,September 7th 2010
The Big One-Oh,Dean Pitchford,3.82,m,Putnam Publishing Group,March 1st 2007
The Ties That Bind,Jude Watson,3.83,m,Scholastic Paperbacks,August 1st 2001
Starting Over,Sue Moorcroft,3.97,w,Choc Lit,November 30th 2009
The Executor,Jesse Kellerman,3.23,m,G.P. Putnam's Sons,April 1st 2010
The Queen's Man,Sharon Kay Penman,3.88,w,Fawcett,July 5th 2000
Spectral,Shannon Duffy,3.76,m,Tribute Books,April 10th 2012
A Choir of Ill Children,Tom Piccirilli,3.69,m,Bantam,June 1st 2004
Queen of Dreams,Chitra Banerjee Divakaruni,3.55,w,Anchor,October 11th 2005
The Boy in the Suitcase,"Lene Kaaberbøl, Agnete Friis",3.61,w;w,Soho Crime,November 8th 2011
Enrique's Journey,Sonia Nazario,3.87,w,Random House Trade Paperbacks,January 2nd 2007
Hestia,C.J. Cherryh,3.5,m,Thorndike Press,September 18th 2000
A Perfect Darkness,Jaime Rush,3.61,m,Avon,January 27th 2009
"A World Undone: The Story of the Great War, 1914 to 1918",G.J. Meyer,4.38,m,Delacorte Press,May 30th 2006
شما که غریبه نیستید,هوشنگ مرادی کرمانی,4.11,m,انتشارات معین,2006
High Weirdness By Mail,Ivan Stang,4.1,m,Fireside,May 15th 1988
"Gone, Gone, Gone",Hannah Moskowitz,3.8,w,Simon Pulse,April 17th 2012
Parrot and Olivier in America,Peter Carey,3.43,m,Faber and Faber,February 4th 2010
Trinity Bound,Carrie Ann Ryan,4.1,w,,March 28th 2012
Iskola a határon,Géza Ottlik,4.26,m,Magvető Könyvkiadó Kft,2007
The Complete Ivory,Doris Egan,4.16,w,DAW,September 1st 2001
Born of Blood,Diana Collins,4.39,w,"Tell-Tale Publishing Goup, LLC;",October 18th 2013
El ángel roto,Gloria V. Casañas,3.94,w,Buenos Aires: Plaza & Janés,October 2012
Nate the Great,Marjorie Weinman Sharmat,4.03,w,Yearling,April 15th 1977
A Want So Wicked,Suzanne Young,3.99,w,Balzer + Bray,June 26th 2012
The Philippines and International Restaurants Food Recipes Kindle Edition,Fernando Lachica,5.0,m,BookRix GmbH & Co. KG,February 24th 2013
Mrs. Jeffries Takes the Stage,Emily Brightwell,3.95,w,Berkley,March 1st 1997
Vincent,Barbara Stok,4.08,w,Nijgh & Van Ditmar,2012
The Far Country,Nevil Shute,3.99,m,House of Stratus,July 1st 2002
Undlas Main Ajnabi / اندلس میں اجنبی,Mustansar Hussain Tarar,4.19,m,Sang-e-Meel Publications,2010
Wicked Embers,Candace C. Bowen,4.43,w,KnightTime Press,September 1st 2012
We Sinners,Hanna Pylväinen,3.48,w,Henry Holt and Co.,August 21st 2012
"Six-Pack Abs: A Quick, Concise Guide To Obtaining And Keeping Toned Abdominal Muscles.",D. Terry,0.0,m,BookTango,January 28th 2013
Tides of War,Steven Pressfield,3.9,m,Bantam,August 28th 2001
Sufism: A Bridge Between Religions,Salaheddin Ali Nader Shah Angha,4.28,m,M.T.O. Shahmaghsoudi,September 30th 2002
قصة الفلسفة,مراد وهبة,3.46,m,دار المعارف,1968
The Draco Tavern,Larry Niven,3.89,m,Tor Science Fiction,November 28th 2006
The Red Notebook: True Stories,Paul Auster,3.78,m,New Directions,June 17th 2002
Living A Long Life,Byron Goines,5.0,m,Byron Goines,April 7th 2013
The Misunderstood God: The Lies Religion Tells About God,Darin Hufford,4.14,w,Windblown Media,November 23rd 2009
"English Women's Clothing in the Nineteenth Century: A Comprehensive Guide with 1,117 Illustrations",C. Willett Cunnington,4.22,m,Dover Publications,May 1st 1990
Hemlock,Kathleen Peacock,3.89,w,Katherine Tegen Books,May 8th 2012
Mithras Court,David A. Page,3.7,m,Wizards of the Coast,November 4th 2008
All I Need Is You,Johanna Lindsey,3.86,w,Avon,December 1st 1998
The Sky's the Limit: Canadian Women Bush Pilots,Spring Joyce,0.0,w,Natural Heritage,October 25th 2006
Diarios,Alejandra Pizarnik,4.57,w,Lumen,November 28th 2003
Blood and Betrayal,Lindsay Buroker,4.42,m,Lindsay Buroker,September 3rd 2012
Pabila Cinta Memanggilku,Syamnuriezmil,3.84,m,Karyaseni,December 2011
Studies in Ecstatic Kabbalah,Moshe Idel,4.24,m,State University of New York Press,July 1988
Leione's Diary: How Everything Should Have Been,Pet Torres,4.0,m,,"UtopYA Con 2013

217 books — 274 voters
Cover Couples

979 books — 600 voters"
Ten Men Dead,David Beresford,4.3,m,HarperCollins Publishers,May 14th 1987
The Dead Travel Fast,Deanna Raybourn,3.6,w,Mira,February 16th 2010
Anders dan jij,Per Nilsson,3.91,m,Uitgeverij Lemniscaat,2001
The Blind Mirror,Christopher Pike,3.69,m,Tor Books,October 1st 2004
Karu süda,Nikolai Baturin,4.29,m,,"200+ raamatut, mida iga eestlane peaks olema lugenud enne surma vol.1

99 books — 15 voters"
حب,غادة السمان,3.46,m,منشورات غادة السمان,2001
Healed of Cancer,Dodie Osteen,4.28,m,John Osteen Publications,May 1st 1988
The Annabran Rosary,Barbara,4.0,w,Large House Publishing,April 9th 2013
Unknown Revolution,Voline,4.15,w,Black Rose Books,June 1st 1975
Half Brother,Kenneth Oppel,4.05,m,Brilliance Audio,September 1st 2010
Surfacing the Rim,Venessa Kimball,4.61,w,Venessa Kimball,March 14th 2013
Digital mind jail,Gojim Oavin,5.0,m,Gojim Oavin,May 17th 2013
The Ticklish Subject: The Absent Centre of Political Ontology,Slavoj Žižek,3.94,m,Verso,June 17th 2000
A Tale of Two Cities / Great Expectations,Charles Dickens,4.0,m,Penguin Group,December 6th 2010
War of the Witches,Maite Carranza,3.72,w,Bloomsbury Children's Books,May 27th 2008
